time,RR,beat
591.46,1032,Q
592.484,1024,Q
593.524,1040,Q
594.564,1040,Q
595.608,1044,Q
596.656,1048,Q
597.732,1076,Q
598.82,1088,Q
599.888,1068,Q
600.896,1008,Q
601.872,976,Q
602.836,964,Q
603.788,952,Q
604.748,960,Q
605.74,992,Q
606.724,984,Q
607.696,972,Q
608.716,1020,Q
609.8,1084,Q
610.86,1060,Q
611.96,1100,Q
613.044,1084,Q
614.152,1108,Q
615.236,1084,Q
616.304,1068,Q
617.416,1112,Q
618.532,1116,Q
619.648,1116,Q
620.716,1068,Q
621.8,1084,Q
622.86,1060,Q
623.928,1068,Q
624.992,1064,Q
626.076,1084,Q
627.188,1112,Q
628.308,1120,Q
629.428,1120,Q
630.564,1136,Q
631.684,1120,Q
632.832,1148,Q
633.992,1160,Q
635.136,1144,Q
636.284,1148,Q
637.412,1128,Q
638.56,1148,Q
639.66,1100,Q
640.764,1104,Q
641.856,1092,Q
642.988,1132,Q
644.096,1108,Q
645.208,1112,Q
646.304,1096,Q
647.356,1052,Q
648.404,1048,Q
649.468,1064,Q
650.5,1032,Q
651.52,1020,Q
652.584,1064,Q
653.648,1064,Q
654.736,1088,Q
655.82,1084,Q
656.912,1092,Q
658.036,1124,Q
659.168,1132,Q
660.276,1108,Q
661.368,1092,Q
662.48,1112,Q
663.576,1096,Q
664.668,1092,Q
665.728,1060,Q
666.772,1044,Q
667.816,1044,Q
668.868,1052,Q
669.932,1064,Q
671.0,1068,Q
672.076,1076,Q
673.164,1088,Q
674.264,1100,Q
675.352,1088,Q
676.456,1104,Q
677.552,1096,Q
678.696,1144,Q
679.82,1124,Q
680.948,1128,Q
682.084,1136,Q
683.232,1148,Q
684.356,1124,Q
685.484,1128,Q
686.628,1144,Q
687.768,1140,Q
688.908,1140,Q
690.06,1152,Q
691.208,1148,Q
692.368,1160,Q
693.504,1136,Q
694.62,1116,Q
695.776,1156,Q
696.864,1088,Q
698.004,1140,Q
699.144,1140,Q
700.264,1120,Q
701.372,1108,Q
702.5,1128,Q
703.596,1096,Q
704.676,1080,Q
705.756,1080,Q
706.836,1080,Q
707.928,1092,Q
709.048,1120,Q
710.176,1128,Q
711.304,1128,Q
712.408,1104,Q
713.504,1096,Q
714.596,1092,Q
715.7,1104,Q
716.796,1096,Q
717.884,1088,Q
718.98,1096,Q
