time,RR,beat
795.876,1048,Q
796.908,1032,Q
797.952,1044,Q
799.004,1052,Q
800.06,1056,Q
801.148,1088,Q
802.216,1068,Q
803.24,1024,Q
804.272,1032,Q
805.312,1040,Q
806.376,1064,Q
807.304,928,Q
808.232,928,Q
809.148,916,Q
810.092,944,Q
811.084,992,Q
812.084,1000,Q
813.128,1044,Q
814.184,1056,Q
815.288,1104,Q
816.4,1112,Q
817.512,1112,Q
818.608,1096,Q
819.696,1088,Q
820.78,1084,Q
821.816,1036,Q
822.86,1044,Q
823.92,1060,Q
825.004,1084,Q
826.092,1088,Q
827.176,1084,Q
828.26,1084,Q
829.32,1060,Q
830.408,1088,Q
831.504,1096,Q
832.596,1092,Q
833.644,1048,Q
834.708,1064,Q
835.736,1028,Q
836.864,1128,Q
837.904,1040,Q
838.956,1052,Q
840.02,1064,Q
841.08,1060,Q
842.156,1076,Q
843.236,1080,Q
844.308,1072,Q
845.356,1048,Q
846.44,1084,Q
847.48,1040,Q
848.532,1052,Q
849.576,1044,Q
850.6,1024,Q
851.604,1004,Q
852.58,976,Q
853.556,976,Q
854.512,956,Q
855.488,976,Q
856.488,1000,Q
857.492,1004,Q
858.544,1052,Q
859.604,1060,Q
860.676,1072,Q
861.748,1072,Q
862.828,1080,Q
863.896,1068,Q
864.952,1056,Q
865.996,1044,Q
867.04,1044,Q
868.1,1060,Q
869.136,1036,Q
870.172,1036,Q
871.204,1032,Q
872.224,1020,Q
873.272,1048,Q
874.308,1036,Q
875.376,1068,Q
876.428,1052,Q
877.472,1044,Q
878.516,1044,Q
879.56,1044,Q
880.596,1036,Q
881.624,1028,Q
882.676,1052,Q
883.72,1044,Q
884.76,1040,Q
885.792,1032,Q
886.812,1020,Q
887.844,1032,Q
888.868,1024,Q
889.928,1060,Q
890.98,1052,Q
892.048,1068,Q
893.08,1032,Q
894.128,1048,Q
895.164,1036,Q
896.196,1032,Q
897.232,1036,Q
898.236,1004,Q
899.264,1028,Q
900.288,1024,Q
901.332,1044,Q
902.36,1028,Q
903.4,1040,Q
904.448,1048,Q
905.504,1056,Q
906.544,1040,Q
907.588,1044,Q
908.636,1048,Q
909.676,1040,Q
910.728,1052,Q
911.776,1048,Q
912.816,1040,Q
913.856,1040,Q
914.9,1044,Q
915.952,1052,Q
916.992,1040,Q
918.024,1032,Q
919.068,1044,Q
920.12,1052,Q
921.176,1056,Q
922.232,1056,Q
923.296,1064,Q
924.356,1060,Q
925.428,1072,Q
926.488,1060,Q
927.568,1080,Q
928.632,1064,Q
929.688,1056,Q
930.72,1032,Q
931.712,992,Q
932.756,1044,Q
933.792,1036,Q
934.86,1068,Q
935.92,1060,Q
936.992,1072,Q
938.06,1068,Q
939.156,1096,Q
940.24,1084,Q
941.324,1084,Q
942.408,1084,Q
943.476,1068,Q
944.56,1084,Q
945.628,1068,Q
946.7,1072,Q
947.76,1060,Q
948.828,1068,Q
949.908,1080,Q
950.992,1084,Q
952.06,1068,Q
953.136,1076,Q
954.22,1084,Q
955.296,1076,Q
956.38,1084,Q
957.452,1072,Q
958.536,1084,Q
959.6,1064,Q
960.664,1064,Q
961.728,1064,Q
962.812,1084,Q
963.884,1072,Q
964.952,1068,Q
965.988,1036,Q
967.004,1016,Q
968.008,1004,Q
969.012,1004,Q
970.016,1004,Q
